Sample_Name,Well,Formation,Day,Corres_16S
U3_Day001,Utica-3,Utica,38,EMIRGE
U3_Day009,Utica-3,Utica,46,EMIRGE
U3_Day017,Utica-3,Utica,54,EMIRGE
U3_Day023,Utica-3,Utica,60,EMIRGE
U3_Day059,Utica-3,Utica,96,EMIRGE
U3_Day087,Utica-3,Utica,124,EMIRGE
U3_Day122,Utica-3,Utica,159,EMIRGE
U3_Input2FT,Utica-3,Utica,-25,EMIRGE
U3_Input2RT,Utica-3,Utica,-24,EMIRGE
U2_20140711FC,Utica-2,Utica,-5,EMIRGE
U2_20140711HT,Utica-2,Utica,0,EMIRGE
U2_20140711LW,Utica-2,Utica,0,EMIRGE
U2_20140716FC,Utica-2,Utica,0,EMIRGE
U2_20141010,Utica-2,Utica,86,EMIRGE
U2_20141011,Utica-2,Utica,87,EMIRGE
U2_20141012,Utica-2,Utica,88,EMIRGE
U2_20141016,Utica-2,Utica,92,EMIRGE
U2_20141018,Utica-2,Utica,94,EMIRGE
U2_20141020,Utica-2,Utica,96,EMIRGE
U2_20141022,Utica-2,Utica,98,EMIRGE
U2_20141029,Utica-2,Utica,105,EMIRGE
U2_20141105,Utica-2,Utica,112,EMIRGE
U2_20141119,Utica-2,Utica,126,EMIRGE
U2_20141203,Utica-2,Utica,140,EMIRGE
U2_20141217,Utica-2,Utica,154,EMIRGE
U2_20150107,Utica-2,Utica,175,EMIRGE
U2_20150205,Utica-2,Utica,204,EMIRGE
U2_20150514,Utica-2,Utica,302,EMIRGE
