,U3_Day001,U3_Day009,U3_Day017,U3_Day023,U3_Day059,U3_Day087,U3_Day122,U3_Input2FT,U3_Input2RT,U2_20140711FC,U2_20140711HT,U2_20140711LW,U2_20140716FC,U2_20141010,U2_20141011,U2_20141012,U2_20141016,U2_20141018,U2_20141020,U2_20141022,U2_20141029,U2_20141105,U2_20141119,U2_20141203,U2_20141217,U2_20150107,U2_20150205,U2_20150514
M1_T000_scaffold_153_25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T000_scaffold_17494_1,6.600104447,0.066877249,0,0,0,0,0,0.039857175,2.146147667,0.06161873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T000_scaffold_20864_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T000_scaffold_219_29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T000_scaffold_227_40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T000_scaffold_24521_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T000_scaffold_2738_1,0,0,0,0,0,0,0,0,0,0,0.026723764,0.162853994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T000_scaffold_3353_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T000_scaffold_34285_2,3.241561701,0,0,0,0,0,0,0,0.027426929,0.353702271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T000_scaffold_3541_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T000_scaffold_3968_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
