,U3_Day001,U3_Day009,U3_Day017,U3_Day023,U3_Day059,U3_Day087,U3_Day122,U3_Input2FT,U3_Input2RT,U2_20140711FC,U2_20140711HT,U2_20140711LW,U2_20140716FC,U2_20141010,U2_20141011,U2_20141012,U2_20141016,U2_20141018,U2_20141020,U2_20141022,U2_20141029,U2_20141105,U2_20141119,U2_20141203,U2_20141217,U2_20150107,U2_20150205,U2_20150514
M1_T000_scaffold_153_25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T000_scaffold_17494_1,0.020296084,0.000229148,0,0,0,0,0,0.000236929,0.010269092,0.000132301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T000_scaffold_20864_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T000_scaffold_219_29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T000_scaffold_227_40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T000_scaffold_24521_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T000_scaffold_2738_1,0,0,0,0,0,0,0,0,0,0,6.89E-05,0.000298107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T000_scaffold_3353_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T000_scaffold_34285_2,0.009551098,0,0,0,0,0,0,0,0.000125744,0.000727658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T000_scaffold_3541_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T000_scaffold_3968_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T000_scaffold_416_30,0.007879656,0.060609533,0,0,0.061817875,0.100515823,0.061135371,0,0.016179059,0,0,0,0.000149566,0.000192808,0.010242516,0.000651572,0,0.003277981,0.004803577,0.006357899,0.000124626,0.145500532,0.176801257,0.164664351,0.137686584,0.131601444,0.145890522,0.159791576
M1_T000_scaffold_4521_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
