,U3_Day001,U3_Day009,U3_Day017,U3_Day023,U3_Day059,U3_Day087,U3_Day122,U3_Input2FT,U3_Input2RT,U2_20140711FC,U2_20140711HT,U2_20140711LW,U2_20140716FC,U2_20141010,U2_20141011,U2_20141012,U2_20141016,U2_20141018,U2_20141020,U2_20141022,U2_20141029,U2_20141105,U2_20141119,U2_20141203,U2_20141217,U2_20150107,U2_20150205,U2_20150514
M1_T000_scaffold_153_25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T000_scaffold_17494_1,85,2,0,0,0,0,0,3,245,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T000_scaffold_20864_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T000_scaffold_219_29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T000_scaffold_227_40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T000_scaffold_24521_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T000_scaffold_2738_1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T000_scaffold_3353_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T000_scaffold_34285_2,40,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T000_scaffold_3541_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T000_scaffold_3968_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T000_scaffold_416_30,33,529,0,0,1467,721,532,0,386,0,0,0,1,2,155,4,0,76,101,137,2,2186,2925,2892,3127,2771,1807,2944
M1_T000_scaffold_4521_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T000_scaffold_5095_9,251,161,0,0,24,0,0,0,1087,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
M1_T000_scaffold_579_57,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T000_scaffold_5935_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T000_scaffold_7654_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T000_scaffold_9213_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T007_scaffold_1346_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
M1_T007_scaffold_2508_9,817,432,0,0,115,0,0,0,2350,0,0,0,0,1,0,2,0,3,0,6,0,0,0,0,0,0,0,0
M1_T007_scaffold_2661_3,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T007_scaffold_4332_1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T007_scaffold_728_14,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,19,0,0,0,0,0,0,0,0
M1_T013_scaffold_37_20,22,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T013_scaffold_943_6,44,26,0,0,9,0,0,0,374,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
M1_T082_scaffold_4220_5,0,45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,1,0,0,0,52,31,6,9,0
M1_T082_scaffold_449_6,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T082_scaffold_6627_3,7,24,0,0,62,4,6,0,13,0,0,0,0,0,0,0,0,8,2,4,0,0,0,0,0,0,1,0
M1_T082_scaffold_7477_2,24,6,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_T328_scaffold_44_24,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0
M4_20151211_scaffold_124_31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4_20151211_scaffold_1268_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
M4_20151211_scaffold_409_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4_20151211_scaffold_4994_2,2,6,0,0,11,0,0,9,0,10,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2
M4_20151211_scaffold_690_8,0,0,0,0,0,0,0,0,0,0,0,0,0,408,234,289,683,109,21,24,447,93,1,0,0,0,0,0
M4_20151220_scaffold_127_50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
M4_20151220_scaffold_243_11,48,7,0,0,13,0,0,25,0,11,0,0,0,20,0,0,0,0,0,3,0,0,0,0,0,0,0,0
M4_20151220_scaffold_37_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
