,U3_Day001,U3_Day009,U3_Day017,U3_Day023,U3_Day059,U3_Day087,U3_Day122,U3_Input2FT,U3_Input2RT,U2_20140711FC,U2_20140711HT,U2_20140711LW,U2_20140716FC,U2_20141010,U2_20141011,U2_20141012,U2_20141016,U2_20141018,U2_20141020,U2_20141022,U2_20141029,U2_20141105,U2_20141119,U2_20141203,U2_20141217,U2_20150107,U2_20150205,U2_20150514
U3_Day001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U3_Day009,-1.761723244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U3_Day017,4.138776598,5.341846254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U3_Day023,0.429544113,0.638530476,2.077954035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U3_Day059,-0.83359705,0.171082715,5.289332374,0.426525835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U3_Day087,-1.268379991,-0.941098568,5.039315549,0.464837843,-0.83480009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U3_Day122,-1.323036717,-1.121623536,4.307357142,0.432306364,-0.885879892,-1.022051342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U3_Input2FT,2.466489612,3.842878737,2.340684466,2.149820011,3.652279595,3.862655002,3.678854115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U3_Input2RT,-0.381124908,-0.270780538,2.974858163,0.702911005,-1.210035278,-0.992375374,-0.551493977,1.359587393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U2_20140711FC,9.712014945,4.393951755,2.777504827,4.066119254,0.550650008,2.437059837,2.490403281,1.875995754,1.362574552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U2_20140711HT,8.313062059,3.961075729,4.157707266,3.467488262,1.609981803,2.002299698,1.894604575,4.989584586,3.173121418,3.083483341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U2_20140711LW,11.88470656,9.818073266,4.576720249,3.492720002,7.118122106,7.273955855,6.90374313,8.818734097,5.204636646,2.870369842,2.47783148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U2_20140716FC,9.683412744,4.524466218,2.341252237,4.135880705,0.099247373,2.426637258,2.335639352,5.096064487,0.714191886,2.568187427,2.320450916,1.332697351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
