,U2_LW,U2_HT,U2_FC1,U2_FC2,U2_day86,U2_day87,U2_day88,U2_day92,U2_day94,U2_day96,U2_day98,U2_day105,U2_day112,U2_day126,U2_day140,U2_day154,U2_day175,U2_day204,U2_day302
U2_LW,0,-0.26,0.93,0.82,1,1,1,0.99,1,1,1,0.99,0.99,1,0.99,1,0.99,1,0.99
U2_HT,-0.26,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
U2_FC1,0.93,1,0,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
U2_FC2,0.82,1,0.98,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
U2_day86,1,1,1,1,0,-0.98,-0.97,-0.94,-0.9,-0.84,-0.64,-0.95,-0.81,-0.29,-0.32,-0.26,-0.32,-0.23,-0.32
U2_day87,1,1,1,1,-0.98,0,-1,-0.96,-0.95,-0.89,-0.68,-0.99,-0.82,-0.5,-0.51,-0.46,-0.49,-0.41,-0.5
U2_day88,1,1,1,1,-0.97,-1,0,-0.96,-0.91,-0.81,-0.54,-1,-0.77,-0.32,-0.35,-0.31,-0.35,-0.26,-0.33
U2_day92,0.99,1,1,1,-0.94,-0.96,-0.96,0,-0.99,-0.99,-0.87,-0.97,-0.85,-0.72,-0.76,-0.73,-0.72,-0.64,-0.6
U2_day94,1,1,1,1,-0.9,-0.95,-0.91,-0.99,0,-1,-0.86,-0.95,-0.64,-0.44,-0.48,-0.44,-0.54,-0.42,-0.43
U2_day96,1,1,1,1,-0.84,-0.89,-0.81,-0.99,-1,0,-0.94,-0.89,-0.67,-0.46,-0.48,-0.45,-0.57,-0.45,-0.48
U2_day98,1,1,1,1,-0.64,-0.68,-0.54,-0.87,-0.86,-0.94,0,-0.75,-0.63,-0.46,-0.51,-0.46,-0.55,-0.45,-0.49
U2_day105,0.99,1,1,1,-0.95,-0.99,-1,-0.97,-0.95,-0.89,-0.75,0,-0.87,-0.44,0.26,0.29,0.26,0.3,0.26
U2_day112,0.99,1,1,1,-0.81,-0.82,-0.77,-0.85,-0.64,-0.67,-0.63,-0.87,0,-0.99,-0.97,-0.96,-0.93,-0.91,-0.92
U2_day126,1,1,1,1,-0.29,-0.5,-0.32,-0.72,-0.44,-0.46,-0.46,-0.44,-0.99,0,-0.98,-0.98,-0.94,-0.93,-0.93
U2_day140,0.99,1,1,1,-0.32,-0.51,-0.35,-0.76,-0.48,-0.48,-0.51,0.26,-0.97,-0.98,0,-0.99,-0.95,-0.94,-0.94
U2_day154,1,1,1,1,-0.26,-0.46,-0.31,-0.73,-0.44,-0.45,-0.46,0.29,-0.96,-0.98,-0.99,0,-0.96,-0.93,-0.95
U2_day175,0.99,1,1,1,-0.32,-0.49,-0.35,-0.72,-0.54,-0.57,-0.55,0.26,-0.93,-0.94,-0.95,-0.96,0,-0.96,-0.98
U2_day204,1,1,1,1,-0.23,-0.41,-0.26,-0.64,-0.42,-0.45,-0.45,0.3,-0.91,-0.93,-0.94,-0.93,-0.96,0,-0.97
U2_day302,0.99,1,1,1,-0.32,-0.5,-0.33,-0.6,-0.43,-0.48,-0.49,0.26,-0.92,-0.93,-0.94,-0.95,-0.98,-0.97,0
