,U3_FT,U3_RT,U3_day1,U3_day9,U3_day17,U3_day23,U3_day59,U3_day87,U3_day122,U2_LW,U2_HT,U2_FC1,U2_FC2,U2_day86,U2_day87,U2_day88,U2_day92,U2_day94,U2_day96,U2_day98,U2_day105,U2_day112,U2_day126,U2_day140,U2_day154,U2_day175,U2_day204,U2_day302
U3_FT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U3_RT,2.175602734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U3_day1,3.051649708,-1.595902208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U3_day9,2.385442226,-1.512269428,0.30294595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U3_day17,-1.530246203,1.464901844,1.958375276,1.743057703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U3_day23,-1.106061892,0.625378831,0.213517867,0.270317052,0.531903923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U3_day59,1.887294833,-1.185764279,-1.105985382,-3.796380401,1.389785565,0.136340922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U3_day87,2.250701627,-0.678045725,-3.305453505,-3.495662451,1.542300463,0.211196683,-11.93127368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U3_day122,2.331656116,-0.825572193,-4.803427413,-3.655527075,1.575916595,0.198836318,-5.450061035,0.262825359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U2_LW,-0.165034224,2.527625158,2.474595111,1.721210159,0.307000622,0.540423631,1.397322111,1.517654571,1.596986656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U2_HT,-1.435043557,2.876103117,3.365542302,1.989812622,-0.110431797,0.592720073,1.709686014,1.843417497,1.9614349,-3.337791816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U2_FC1,-2.224279486,2.496087485,2.989849644,2.134432446,-0.5158729,0.643959269,1.792748426,1.957877244,2.09486552,-0.296657459,1.980546179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U2_FC2,-2.588368496,2.421934646,3.17441083,2.07990611,-0.645826448,0.605936951,1.783274795,1.968783155,2.099648518,-0.709794815,0.885468549,0.893012664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U2_day86,0.86064182,0.880327646,0.604806072,0.41873439,0.790481403,0.217362729,0.316326852,0.335031696,0.333814476,0.802250364,0.971577699,1.026537991,0.968716535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U2_day87,1.094629078,1.07095444,0.716923766,0.504144268,0.959986439,0.211823035,0.386469518,0.411497974,0.400165554,0.949910887,1.14785096,1.235264713,1.166125009,0.144498909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U2_day88,1.254673444,1.011584049,0.591845009,-0.850862348,1.089848593,0.270597124,-0.269431026,0.077881805,-1.074251129,1.063466211,1.254962459,1.346829067,1.282377646,-3.551155281,-3.712644836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
